epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3352.22,1.1067,1.4251,1.18719,0.67306,0.25157,0.26644,0.17808,1.11406,1.1486,1.14589,0.00333126,0.00333126,0.00333126
2,7708.59,1.23537,1.24723,1.26811,0.4972,0.11224,0.11287,0.06802,1.36982,1.35961,1.37549,0.00659861,0.00659861,0.00659861
3,12905.6,1.37809,1.38143,1.37253,0.6107,0.30687,0.33002,0.18968,1.47005,1.38682,1.44548,0.00979997,0.00979997,0.00979997
4,18031.3,1.42722,1.41972,1.41327,0.71331,0.5023,0.58054,0.34945,1.36233,1.2908,1.3625,0.009703,0.009703,0.009703
5,23832.9,1.36432,1.32345,1.37714,0.7531,0.54496,0.6375,0.39568,1.2714,1.16316,1.30285,0.009604,0.009604,0.009604
6,30288,1.3284,1.27074,1.34999,0.76124,0.53828,0.62729,0.39758,1.24512,1.13748,1.29128,0.009505,0.009505,0.009505
7,37548.6,1.30194,1.23119,1.33301,0.7765,0.58088,0.67743,0.43529,1.20788,1.0401,1.2436,0.009406,0.009406,0.009406
8,44924.8,1.27386,1.19335,1.31601,0.7775,0.59299,0.68734,0.44545,1.1776,1.00701,1.22819,0.009307,0.009307,0.009307
9,52100.3,1.25805,1.16805,1.30354,0.79532,0.59745,0.69887,0.45791,1.15304,0.98536,1.20314,0.009208,0.009208,0.009208
10,59174.1,1.24377,1.15195,1.2935,0.7892,0.60475,0.70057,0.4629,1.13349,0.97436,1.19916,0.009109,0.009109,0.009109
11,66124.2,1.23013,1.1253,1.28476,0.79953,0.60821,0.7099,0.47058,1.12568,0.95976,1.1884,0.00901,0.00901,0.00901
12,73805.6,1.21657,1.11014,1.27373,0.81026,0.62031,0.7225,0.48401,1.10713,0.92155,1.17427,0.008911,0.008911,0.008911
13,80815.3,1.20785,1.09594,1.26923,0.81164,0.61968,0.7233,0.48691,1.09593,0.90101,1.17167,0.008812,0.008812,0.008812
